idx,cluster,ply,to_move,image
258,0,5,O,layout_moves_05ply_00041_00192_O.png
259,8,5,O,layout_moves_05ply_00041_00258_O.png
260,5,5,O,layout_moves_05ply_00041_00260_O.png
261,7,5,O,layout_moves_05ply_00041_00272_O.png
262,5,5,O,layout_moves_05ply_00041_00320_O.png
263,7,5,O,layout_moves_05ply_00041_00384_O.png
264,0,5,O,layout_moves_05ply_00042_00005_O.png
265,1,5,O,layout_moves_05ply_00042_00017_O.png
266,0,5,O,layout_moves_05ply_00042_00065_O.png
267,8,5,O,layout_moves_05ply_00042_00068_O.png
268,1,5,O,layout_moves_05ply_00042_00080_O.png
269,0,5,O,layout_moves_05ply_00042_00129_O.png
270,1,5,O,layout_moves_05ply_00042_00144_O.png
271,0,5,O,layout_moves_05ply_00042_00192_O.png
272,2,5,O,layout_moves_05ply_00042_00320_O.png
273,6,5,O,layout_moves_05ply_00069_00010_O.png
274,9,5,O,layout_moves_05ply_00069_00018_O.png
275,6,5,O,layout_moves_05ply_00069_00034_O.png
276,2,5,O,layout_moves_05ply_00069_00040_O.png
277,9,5,O,layout_moves_05ply_00069_00048_O.png
278,6,5,O,layout_moves_05ply_00069_00160_O.png
279,6,5,O,layout_moves_05ply_00069_00258_O.png
280,9,5,O,layout_moves_05ply_00069_00272_O.png
281,6,5,O,layout_moves_05ply_00069_00288_O.png
282,6,5,O,layout_moves_05ply_00070_00009_O.png
283,5,5,O,layout_moves_05ply_00070_00017_O.png
284,8,5,O,layout_moves_05ply_00070_00024_O.png
285,6,5,O,layout_moves_05ply_00070_00033_O.png
286,0,5,O,layout_moves_05ply_00070_00040_O.png
287,8,5,O,layout_moves_05ply_00070_00048_O.png
288,2,5,O,layout_moves_05ply_00070_00129_O.png
289,8,5,O,layout_moves_05ply_00070_00136_O.png
290,7,5,O,layout_moves_05ply_00070_00144_O.png
291,8,5,O,layout_moves_05ply_00070_00160_O.png
292,6,5,O,layout_moves_05ply_00070_00257_O.png
293,6,5,O,layout_moves_05ply_00070_00264_O.png
294,5,5,O,layout_moves_05ply_00070_00272_O.png
295,5,5,O,layout_moves_05ply_00070_00288_O.png
296,5,5,O,layout_moves_05ply_00070_00384_O.png
297,6,5,O,layout_moves_05ply_00097_00006_O.png
298,2,5,O,layout_moves_05ply_00097_00010_O.png
299,2,5,O,layout_moves_05ply_00097_00012_O.png
300,9,5,O,layout_moves_05ply_00097_00018_O.png
301,9,5,O,layout_moves_05ply_00097_00020_O.png
302,4,5,O,layout_moves_05ply_00097_00024_O.png
303,2,5,O,layout_moves_05ply_00097_00130_O.png
304,6,5,O,layout_moves_05ply_00097_00132_O.png
305,6,5,O,layout_moves_05ply_00097_00260_O.png
306,5,5,O,layout_moves_05ply_00098_00005_O.png
307,0,5,O,layout_moves_05ply_00098_00009_O.png
308,7,5,O,layout_moves_05ply_00098_00012_O.png
309,4,5,O,layout_moves_05ply_00098_00017_O.png
310,7,5,O,layout_moves_05ply_00098_00020_O.png
311,1,5,O,layout_moves_05ply_00098_00024_O.png
312,2,5,O,layout_moves_05ply_00098_00129_O.png
313,0,5,O,layout_moves_05ply_00098_00136_O.png
314,2,5,O,layout_moves_05ply_00098_00257_O.png
315,4,6,X,layout_moves_06ply_00011_00052_X.png
316,6,6,X,layout_moves_06ply_00011_00100_X.png
317,4,6,X,layout_moves_06ply_00011_00112_X.png
318,0,6,X,layout_moves_06ply_00011_00164_X.png
319,1,6,X,layout_moves_06ply_00011_00176_X.png
320,5,6,X,layout_moves_06ply_00011_00276_X.png
321,8,6,X,layout_moves_06ply_00011_00304_X.png
322,6,6,X,layout_moves_06ply_00011_00324_X.png
323,5,6,X,layout_moves_06ply_00011_00352_X.png
324,7,6,X,layout_moves_06ply_00011_00416_X.png
325,4,6,X,layout_moves_06ply_00013_00050_X.png
326,9,6,X,layout_moves_06ply_00013_00082_X.png
327,5,6,X,layout_moves_06ply_00013_00098_X.png
328,7,6,X,layout_moves_06ply_00013_00112_X.png
329,0,6,X,layout_moves_06ply_00013_00162_X.png
330,3,6,X,layout_moves_06ply_00013_00176_X.png
331,2,6,X,layout_moves_06ply_00013_00194_X.png
332,3,6,X,layout_moves_06ply_00013_00208_X.png
333,7,6,X,layout_moves_06ply_00013_00224_X.png
334,5,6,X,layout_moves_06ply_00013_00274_X.png
335,6,6,X,layout_moves_06ply_00013_00290_X.png
336,3,6,X,layout_moves_06ply_00013_00304_X.png
337,6,6,X,layout_moves_06ply_00013_00322_X.png
338,9,6,X,layout_moves_06ply_00013_00336_X.png
339,2,6,X,layout_moves_06ply_00013_00352_X.png
340,2,6,X,layout_moves_06ply_00013_00386_X.png
341,3,6,X,layout_moves_06ply_00013_00400_X.png
342,3,6,X,layout_moves_06ply_00013_00416_X.png
343,3,6,X,layout_moves_06ply_00014_00049_X.png
344,5,6,X,layout_moves_06ply_00014_00081_X.png
345,2,6,X,layout_moves_06ply_00014_00097_X.png
346,7,6,X,layout_moves_06ply_00014_00112_X.png
347,4,6,X,layout_moves_06ply_00014_00145_X.png
348,2,6,X,layout_moves_06ply_00014_00161_X.png
349,1,6,X,layout_moves_06ply_00014_00176_X.png
350,5,6,X,layout_moves_06ply_00014_00193_X.png
351,7,6,X,layout_moves_06ply_00014_00208_X.png
352,7,6,X,layout_moves_06ply_00014_00224_X.png
353,2,6,X,layout_moves_06ply_00014_00289_X.png
354,4,6,X,layout_moves_06ply_00014_00304_X.png
355,6,6,X,layout_moves_06ply_00014_00321_X.png
356,5,6,X,layout_moves_06ply_00014_00336_X.png
357,5,6,X,layout_moves_06ply_00014_00352_X.png
358,2,6,X,layout_moves_06ply_00014_00385_X.png
359,4,6,X,layout_moves_06ply_00014_00400_X.png
360,0,6,X,layout_moves_06ply_00014_00416_X.png
361,3,6,X,layout_moves_06ply_00019_00044_X.png
362,9,6,X,layout_moves_06ply_00019_00076_X.png
363,9,6,X,layout_moves_06ply_00019_00100_X.png
364,4,6,X,layout_moves_06ply_00019_00104_X.png
365,1,6,X,layout_moves_06ply_00019_00140_X.png
366,4,6,X,layout_moves_06ply_00019_00164_X.png
367,1,6,X,layout_moves_06ply_00019_00168_X.png
368,3,6,X,layout_moves_06ply_00019_00196_X.png
369,4,6,X,layout_moves_06ply_00019_00200_X.png
370,4,6,X,layout_moves_06ply_00019_00224_X.png
371,9,6,X,layout_moves_06ply_00019_00268_X.png
372,5,6,X,layout_moves_06ply_00019_00296_X.png
373,9,6,X,layout_moves_06ply_00019_00324_X.png
374,5,6,X,layout_moves_06ply_00019_00328_X.png
375,5,6,X,layout_moves_06ply_00019_00352_X.png
376,5,6,X,layout_moves_06ply_00019_00388_X.png
377,8,6,X,layout_moves_06ply_00019_00392_X.png
378,7,6,X,layout_moves_06ply_00019_00416_X.png
379,4,6,X,layout_moves_06ply_00021_00042_X.png
380,9,6,X,layout_moves_06ply_00021_00074_X.png
381,5,6,X,layout_moves_06ply_00021_00098_X.png
382,3,6,X,layout_moves_06ply_00021_00104_X.png
383,4,6,X,layout_moves_06ply_00021_00138_X.png
384,3,6,X,layout_moves_06ply_00021_00168_X.png
385,3,6,X,layout_moves_06ply_00021_00194_X.png
386,9,6,X,layout_moves_06ply_00021_00200_X.png
387,9,6,X,layout_moves_06ply_00021_00224_X.png
388,9,6,X,layout_moves_06ply_00021_00322_X.png
389,9,6,X,layout_moves_06ply_00021_00328_X.png
390,4,6,X,layout_moves_06ply_00026_00037_X.png
391,9,6,X,layout_moves_06ply_00026_00069_X.png
392,4,6,X,layout_moves_06ply_00026_00097_X.png
393,8,6,X,layout_moves_06ply_00026_00100_X.png
394,1,6,X,layout_moves_06ply_00026_00161_X.png
395,1,6,X,layout_moves_06ply_00026_00164_X.png
396,5,6,X,layout_moves_06ply_00026_00261_X.png
397,8,6,X,layout_moves_06ply_00026_00289_X.png
398,9,6,X,layout_moves_06ply_00026_00324_X.png
399,3,6,X,layout_moves_06ply_00026_00352_X.png
400,3,6,X,layout_moves_06ply_00026_00416_X.png
401,4,6,X,layout_moves_06ply_00028_00035_X.png
402,9,6,X,layout_moves_06ply_00028_00067_X.png
403,7,6,X,layout_moves_06ply_00028_00097_X.png
404,8,6,X,layout_moves_06ply_00028_00098_X.png
405,4,6,X,layout_moves_06ply_00028_00131_X.png
406,3,6,X,layout_moves_06ply_00028_00161_X.png
407,1,6,X,layout_moves_06ply_00028_00162_X.png
408,5,6,X,layout_moves_06ply_00028_00193_X.png
409,7,6,X,layout_moves_06ply_00028_00194_X.png
410,7,6,X,layout_moves_06ply_00028_00224_X.png
411,9,6,X,layout_moves_06ply_00028_00259_X.png
412,3,6,X,layout_moves_06ply_00028_00289_X.png
413,4,6,X,layout_moves_06ply_00028_00290_X.png
414,9,6,X,layout_moves_06ply_00028_00321_X.png
415,9,6,X,layout_moves_06ply_00028_00322_X.png
416,5,6,X,layout_moves_06ply_00028_00352_X.png
417,3,6,X,layout_moves_06ply_00028_00385_X.png
418,3,6,X,layout_moves_06ply_00028_00386_X.png
419,4,6,X,layout_moves_06ply_00028_00416_X.png
420,4,6,X,layout_moves_06ply_00041_00022_X.png
421,6,6,X,layout_moves_06ply_00041_00070_X.png
422,3,6,X,layout_moves_06ply_00041_00082_X.png
423,0,6,X,layout_moves_06ply_00041_00134_X.png
424,4,6,X,layout_moves_06ply_00041_00148_X.png
425,2,6,X,layout_moves_06ply_00041_00194_X.png
426,2,6,X,layout_moves_06ply_00041_00196_X.png
427,4,6,X,layout_moves_06ply_00041_00208_X.png
428,6,6,X,layout_moves_06ply_00041_00262_X.png
429,8,6,X,layout_moves_06ply_00041_00274_X.png
430,5,6,X,layout_moves_06ply_00041_00276_X.png
431,6,6,X,layout_moves_06ply_00041_00322_X.png
432,2,6,X,layout_moves_06ply_00041_00324_X.png
433,5,6,X,layout_moves_06ply_00041_00336_X.png
434,0,6,X,layout_moves_06ply_00041_00386_X.png
435,0,6,X,layout_moves_06ply_00041_00388_X.png
436,7,6,X,layout_moves_06ply_00041_00400_X.png
437,4,6,X,layout_moves_06ply_00042_00021_X.png
438,6,6,X,layout_moves_06ply_00042_00069_X.png
439,4,6,X,layout_moves_06ply_00042_00081_X.png
440,0,6,X,layout_moves_06ply_00042_00133_X.png
441,1,6,X,layout_moves_06ply_00042_00145_X.png
442,0,6,X,layout_moves_06ply_00042_00193_X.png
443,7,6,X,layout_moves_06ply_00042_00196_X.png
444,1,6,X,layout_moves_06ply_00042_00208_X.png
445,2,6,X,layout_moves_06ply_00042_00321_X.png
446,3,6,X,layout_moves_06ply_00042_00336_X.png
447,9,6,X,layout_moves_06ply_00069_00026_X.png
448,6,6,X,layout_moves_06ply_00069_00042_X.png
449,5,6,X,layout_moves_06ply_00069_00050_X.png
450,5,6,X,layout_moves_06ply_00069_00162_X.png
451,9,6,X,layout_moves_06ply_00069_00176_X.png
452,6,6,X,layout_moves_06ply_00069_00266_X.png
453,9,6,X,layout_moves_06ply_00069_00274_X.png
454,6,6,X,layout_moves_06ply_00069_00290_X.png
455,2,6,X,layout_moves_06ply_00069_00296_X.png
456,9,6,X,layout_moves_06ply_00069_00304_X.png
457,6,6,X,layout_moves_06ply_00069_00416_X.png
458,5,6,X,layout_moves_06ply_00070_00025_X.png
459,2,6,X,layout_moves_06ply_00070_00041_X.png
460,9,6,X,layout_moves_06ply_00070_00049_X.png
461,6,6,X,layout_moves_06ply_00070_00137_X.png
462,7,6,X,layout_moves_06ply_00070_00145_X.png
463,8,6,X,layout_moves_06ply_00070_00152_X.png
464,6,6,X,layout_moves_06ply_00070_00161_X.png
465,0,6,X,layout_moves_06ply_00070_00168_X.png
466,8,6,X,layout_moves_06ply_00070_00176_X.png
467,6,6,X,layout_moves_06ply_00070_00265_X.png
468,8,6,X,layout_moves_06ply_00070_00280_X.png
469,6,6,X,layout_moves_06ply_00070_00289_X.png
470,5,6,X,layout_moves_06ply_00070_00296_X.png
471,5,6,X,layout_moves_06ply_00070_00304_X.png
472,2,6,X,layout_moves_06ply_00070_00385_X.png
473,6,6,X,layout_moves_06ply_00070_00392_X.png
474,5,6,X,layout_moves_06ply_00070_00400_X.png
475,6,6,X,layout_moves_06ply_00070_00416_X.png
476,2,6,X,layout_moves_06ply_00097_00014_X.png
477,9,6,X,layout_moves_06ply_00097_00022_X.png
478,4,6,X,layout_moves_06ply_00097_00026_X.png
479,3,6,X,layout_moves_06ply_00097_00028_X.png
480,2,6,X,layout_moves_06ply_00097_00134_X.png
481,0,6,X,layout_moves_06ply_00097_00138_X.png
482,5,6,X,layout_moves_06ply_00097_00140_X.png
483,9,6,X,layout_moves_06ply_00097_00148_X.png
484,6,6,X,layout_moves_06ply_00097_00262_X.png
485,2,6,X,layout_moves_06ply_00097_00268_X.png
486,9,6,X,layout_moves_06ply_00097_00276_X.png
487,2,6,X,layout_moves_06ply_00098_00013_X.png
488,5,6,X,layout_moves_06ply_00098_00021_X.png
489,4,6,X,layout_moves_06ply_00098_00025_X.png
490,7,6,X,layout_moves_06ply_00098_00028_X.png
491,2,6,X,layout_moves_06ply_00098_00133_X.png
492,0,6,X,layout_moves_06ply_00098_00137_X.png
493,7,6,X,layout_moves_06ply_00098_00140_X.png
494,3,6,X,layout_moves_06ply_00098_00145_X.png
495,1,6,X,layout_moves_06ply_00098_00152_X.png
496,2,6,X,layout_moves_06ply_00098_00261_X.png
